,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gsr,247.395349501904,1.05935038604762,0.24937423523491,4.24803462574917,2.15654069441097e-05,0.0027689982516236
Lonrf1,95.3072831764903,1.55820727508015,0.343647006769533,4.53432517782748,5.77879423930715e-06,0.0010261663132182
2700029M09Rik,72.7963378636003,1.26920817025907,0.343140425609491,3.69880106083301,0.0002166203006913,0.0134918882803729
Tm6sf2,49.4772446166347,-1.49661725015905,0.392852238966584,-3.80961873628613,0.0001391812535514,0.010279705682661
Prkaca,218.370217864403,-1.06037228957435,0.316251408566485,-3.35294092247948,0.0007995777147223,0.0303330709412399
Gpt2,3445.63395038045,1.09708657846359,0.316941152184464,3.46148353062423,0.0005372069883232,0.0241049974437946
Pllp,62.9458650390919,-1.56543449105984,0.399053899883001,-3.92286478472911,8.75022647615854e-05,0.0076873618034846
Ces3a,472.062411855621,-1.10424833189492,0.301004523890786,-3.66854397276625,0.000243935742948,0.0146466741772951
Ces3b,283.809295655965,-1.32052585841136,0.338994126960372,-3.89542400115306,9.80270961774472e-05,0.0083420635623253
Chtf8,114.215850549241,-1.44963681486742,0.308595644624513,-4.69752843281791,2.63328536911741e-06,0.0006528801055755
Fam89a,78.0694147582197,-1.48931020238976,0.449553706897512,-3.31286380145295,0.0009234593812461,0.0329367179311117
Egln1,186.059181935113,1.12872268487523,0.322657194558019,3.49821018688697,0.0004683918392465,0.0219617881480429
Birc2,140.265237115829,1.28355760509979,0.358557900690564,3.57977777822696,0.0003438865241271,0.0176078339286232
4931406C07Rik,1030.27857974224,1.25122621133283,0.27388390239307,4.56845473720872,4.91333142499746e-06,0.0009112592016228
Zfp266,198.706964838696,1.89885174494358,0.554502226234598,3.42442582753531,0.0006160999993317,0.0265324767117857
Cdkn2d,79.0791994476942,1.26610995789822,0.343199318038415,3.68913890952576,0.0002250143439223,0.013803268011052
Ilf3,71.3423831282708,1.23151381240804,0.385474340737846,3.19480100815731,0.0013992728317098,0.0430934725219573
Kank2,110.261476570243,1.19934349385227,0.331659478527737,3.61618940962053,0.0002989716513566,0.0160981767885321
St3gal4,159.115677847235,1.02802901260169,0.312534266272763,3.28933215823599,0.0010042543230233,0.0346780435293106
Stt3a,560.207627705468,1.50097429239495,0.252895230456826,5.93516251644451,2.9355457202215304e-09,4.08334409682815e-06
Paqr9,195.371755481764,-1.25886527586851,0.400357787637276,-3.14435066518313,0.0016645584448712,0.0474143507880385
Armc8,246.302235607012,2.00007538891924,0.287628877339052,6.95366684813634,3.5591155823299097e-12,2.97043786501255e-08
Alas1,383.164379551105,1.03096312666433,0.316659963904085,3.25574194461982,0.0011309649188442,0.0374564810026752
Rhoa,242.509627264819,-1.00405720392312,0.27529424386137,-3.64721466689559,0.0002650984390624,0.0153646636973297
Pth1r,42.4065810270848,-1.44884291961941,0.426475007052876,-3.39725164583859,0.0006806634164486,0.0277113018228296
Cyp8b1,136.590207972131,-1.84549171812702,0.302972390929295,-6.09128677522865,1.12006697998935e-09,2.56810004636164e-06
Cask,117.885742408221,1.2053000987272,0.286341444308501,4.20931067676189,2.56150974352109e-05,0.0029876615936777
Zdhhc9,143.887448887669,-1.54419231022021,0.325091555066103,-4.75002283558618,2.03393679410055e-06,0.0005784866860654
Phf6,32.9317904211641,1.46651874723968,0.433117469868076,3.38596073644032,0.0007092953130396,0.028430459363704
Yipf6,123.297474250384,1.2347595283811,0.323526465451601,3.81656420799311,0.0001353228722351,0.0101748170421113
Ogt,89.2996780640699,1.04477573218203,0.32753895867059,3.18977545884176,0.001423833744779,0.0436886633600222
Pgk1,168.297145526035,1.79389050284923,0.295233428409046,6.07617678159329,1.23081718013978e-09,2.56810004636164e-06
